DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R
'115902,31,8,54,20,20,80,-1,-1,-1,.,.,.,37,9,74,0,0,20,36,10,69,46,18,84,39,9,74,.,.,.,31,8,54,32,3,67,30,3,62,33,2,67,35,6,79,38,9,74,37,8,73,-1,-1,-1
'115903,0,0,21,.,.,.,.,.,.,.,.,.,24,9,56,.,.,.,18,5,49,36,18,62,21,8,48,.,.,.,0,0,13,14,2,52,2,0,29,11,0,63,31,13,74,26,11,55,22,7,59,-1,-1,-1
'116901,36,18,74,78,46,95,54,31,100,.,.,.,64,33,90,49,30,86,51,24,82,68,36,92,54,26,83,46,29,75,19,4,61,60,31,87,34,13,74,30,9,55,66,35,91,65,35,90,61,29,89,50,28,88
'116902,59,19,88,40,20,67,.,.,.,.,.,.,45,17,76,36,5,55,34,10,70,47,18,79,44,13,75,33,0,67,32,5,79,44,17,73,21,5,63,21,9,46,46,19,77,46,18,78,43,17,72,69,23,92
'116903,23,8,57,31,10,71,68,43,88,17,6,50,34,14,65,14,5,43,24,8,56,38,16,70,32,10,66,43,11,66,13,3,43,30,13,59,18,4,50,13,7,28,45,21,75,36,15,67,29,12,60,32,12,63
'116905,28,9,62,36,16,69,73,35,96,12,0,32,35,14,66,18,6,50,30,11,61,38,15,71,32,11,65,33,12,58,22,7,56,33,13,62,24,8,57,19,9,39,48,22,76,36,14,66,34,13,66,25,11,61
'116906,32,8,61,46,22,84,.,.,.,-1,-1,-1,53,23,82,30,7,83,39,14,73,56,23,86,45,18,81,-1,-1,-1,23,6,55,49,22,79,21,3,60,21,7,46,54,24,82,56,25,84,44,16,78,38,8,76
'116908,30,7,64,51,23,81,75,50,88,-1,-1,-1,40,15,71,27,5,61,36,13,68,42,15,74,36,11,68,50,14,75,23,5,58,38,14,68,23,5,57,23,10,41,41,16,72,41,15,70,39,13,71,42,13,73
'116909,34,4,82,45,0,100,67,0,100,.,.,.,51,20,83,27,4,65,46,15,83,55,22,87,41,9,83,70,20,70,25,0,75,48,19,80,30,6,71,33,16,58,54,24,84,51,21,84,52,18,81,50,20,83
'116910,29,2,52,46,8,54,40,40,80,.,.,.,31,10,62,.,.,.,28,9,57,31,7,66,34,11,56,-1,-1,-1,7,0,31,31,12,60,20,3,53,14,3,34,30,9,65,36,12,65,23,6,57,20,0,50
