DISTRICT,DD000A001223R,DD000A001323R,DD000A001S23R,DD200A001223R,DD200A001323R,DD200A001S23R,DD300A001223R,DD300A001323R,DD300A001S23R,DD400A001223R,DD400A001323R,DD400A001S23R,DDA00A001223R,DDA00A001323R,DDA00A001S23R,DDB00A001223R,DDB00A001323R,DDB00A001S23R,DDE00A001223R,DDE00A001323R,DDE00A001S23R,DDF00A001223R,DDF00A001323R,DDF00A001S23R,DDH00A001223R,DDH00A001323R,DDH00A001S23R,DDI00A001223R,DDI00A001323R,DDI00A001S23R,DDL00A001223R,DDL00A001323R,DDL00A001S23R,DDM00A001223R,DDM00A001323R,DDM00A001S23R,DDR00A001223R,DDR00A001323R,DDR00A001S23R,DDS00A001223R,DDS00A001323R,DDS00A001S23R,DDW00A001223R,DDW00A001323R,DDW00A001S23R,DISTNAME,DNC00A001223R,DNC00A001323R,DNC00A001S23R,DNM00A001223R,DNM00A001323R,DNM00A001S23R,DNS00A001223R,DNS00A001323R,DNS00A001S23R
"'132902",.,.,.,-1,-1,-1,.,.,.,.,.,.,67,24,93,.,.,.,58,10,92,68,26,91,58,11,89,.,.,.,.,.,.,67,24,94,39,7,82,28,0,72,70,29,94,"JAYTON-GIRARD ISD",66,23,92,71,27,94,47,13,93
"'133901",28,7,71,71,43,86,.,.,.,.,.,.,44,14,78,80,0,80,41,12,76,43,14,78,41,11,77,-1,-1,-1,24,7,69,46,14,78,30,7,70,28,12,58,49,18,79,"CENTER POINT ISD",43,13,79,47,18,75,44,11,100
"'133902",40,11,79,-1,-1,-1,.,.,.,-1,-1,-1,59,22,88,-1,-1,-1,48,15,83,60,26,90,46,17,78,.,.,.,24,3,68,58,19,87,26,1,72,20,0,65,66,27,94,"HUNT ISD",58,22,88,62,25,92,54,15,100
"'133903",33,9,68,54,30,79,69,33,89,-1,-1,-1,52,22,79,29,9,67,41,13,72,53,22,82,42,13,74,39,22,83,27,6,63,51,21,77,30,7,65,27,10,52,61,29,85,"KERRVILLE ISD",53,22,80,49,20,76,46,14,81
"'133904",41,9,80,47,13,80,82,36,100,.,.,.,60,20,87,-1,-1,-1,54,15,85,63,20,89,53,13,85,.,.,.,36,5,77,57,19,86,39,5,78,27,7,65,66,25,89,"INGRAM ISD",58,17,87,62,24,88,66,23,97
"'133905",.,.,.,.,.,.,.,.,.,.,.,.,53,16,78,.,.,.,44,6,83,57,21,86,38,0,50,.,.,.,.,.,.,50,11,72,50,13,63,36,0,64,58,21,88,"DIVIDE ISD",38,19,69,69,13,88,.,.,.
"'134901",17,4,48,64,0,100,.,.,.,.,.,.,40,10,71,-1,-1,-1,31,5,64,37,9,70,28,4,62,.,.,.,17,4,48,43,12,71,24,3,57,13,1,34,47,15,75,"JUNCTION ISD",39,8,70,43,17,72,36,9,64
"'135001",40,20,80,.,.,.,.,.,.,.,.,.,60,16,90,.,.,.,72,10,100,54,14,85,67,11,89,.,.,.,40,20,80,65,17,94,45,6,82,24,6,76,60,16,90,"GUTHRIE CSD",60,15,92,60,19,85,-1,-1,-1
"'136901",19,8,67,50,0,83,.,.,.,.,.,.,49,14,81,-1,-1,-1,39,8,76,46,12,80,44,10,78,67,67,100,7,3,59,53,17,82,36,6,71,39,11,63,65,26,87,"BRACKETT ISD",48,15,81,54,14,79,40,10,85
"'137901",24,8,55,24,4,43,52,15,85,-1,-1,-1,27,7,56,25,3,60,24,6,52,29,8,58,25,6,55,.,.,.,18,5,51,26,7,55,15,2,45,17,6,33,42,14,64,"KINGSVILLE ISD",26,7,55,30,7,59,20,2,53
