DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R
'026903,48,18,75,12,0,52,.,.,.,.,.,.,37,16,66,22,8,60,30,11,60,40,18,69,37,16,60,.,.,.,38,11,69,34,14,62,18,5,50,26,13,45,51,24,77,36,16,63,40,17,75,11,0,56
'027903,22,5,61,32,14,67,46,21,86,-1,-1,-1,40,14,71,19,3,45,30,9,63,42,15,73,31,10,66,24,4,68,11,2,46,37,13,68,14,3,49,16,5,35,44,16,73,41,15,72,36,12,67,28,10,61
'027904,27,10,58,40,14,67,59,31,81,61,33,97,42,18,71,41,19,68,32,12,64,42,17,75,31,11,63,43,14,67,21,6,50,41,18,68,23,7,56,21,6,41,52,24,80,42,18,72,39,16,70,31,14,74
'028902,26,9,59,50,24,71,79,35,93,50,40,80,34,13,65,26,10,56,28,10,61,35,13,68,30,11,62,24,11,76,21,6,54,32,13,62,20,6,54,10,1,26,47,23,75,34,14,66,32,12,62,22,7,54
'028903,16,5,49,47,29,67,18,18,73,.,.,.,29,11,60,14,2,46,24,9,54,29,11,63,26,9,56,.,.,.,10,3,43,28,10,56,12,2,45,9,5,25,39,17,73,28,10,59,29,12,62,6,4,44
'028906,26,8,55,14,0,57,.,.,.,.,.,.,25,8,57,10,0,33,22,7,52,30,10,62,27,8,58,.,.,.,13,0,43,21,6,53,9,2,44,5,0,26,25,9,61,23,6,57,27,9,57,15,8,46
'029901,37,15,69,40,17,79,58,33,82,.,.,.,47,19,78,40,20,76,41,15,74,51,21,81,41,15,75,64,9,91,23,7,60,43,17,75,25,7,63,20,7,40,59,26,85,48,19,79,42,17,73,59,34,81
'030901,6,0,31,-1,-1,-1,-1,-1,-1,.,.,.,45,16,76,.,.,.,36,11,67,49,16,80,36,11,76,-1,-1,-1,6,0,31,42,15,72,27,7,58,17,4,36,47,17,76,48,18,78,39,12,72,33,19,67
'030902,36,20,84,50,18,82,-1,-1,-1,.,.,.,48,20,77,48,19,77,39,17,71,51,22,81,40,17,73,.,.,.,7,0,73,45,19,74,27,7,61,23,13,46,49,21,78,51,23,81,39,14,69,61,9,91
'030903,.,.,.,40,10,90,.,.,.,.,.,.,41,16,80,.,.,.,36,14,78,41,16,78,42,17,80,.,.,.,.,.,.,41,16,81,23,7,71,22,19,54,41,16,80,44,17,82,36,13,75,-1,-1,-1
'030906,.,.,.,41,18,71,100,60,100,.,.,.,48,19,76,.,.,.,41,14,69,48,19,77,48,14,74,-1,-1,-1,.,.,.,48,19,76,26,6,61,31,16,48,48,20,77,50,22,76,45,14,77,38,0,75
'031901,38,15,71,50,40,90,79,57,95,42,25,58,49,21,78,64,29,93,48,20,78,50,21,81,49,21,78,-1,-1,-1,24,8,61,48,20,76,32,10,68,25,10,47,56,28,80,50,22,80,41,17,70,45,20,78
'031903,37,14,69,57,43,86,76,47,94,59,23,73,47,20,77,57,23,81,42,16,74,50,22,81,46,19,76,65,23,94,26,10,58,44,18,74,26,7,62,23,7,45,62,31,85,48,20,78,44,19,74,40,18,79
'031905,26,9,60,60,15,85,-1,-1,-1,.,.,.,42,16,74,12,0,41,39,14,71,43,17,76,42,16,74,43,0,57,13,4,44,40,15,71,19,4,55,22,7,44,42,22,76,43,17,75,35,12,67,23,7,74
'031906,49,21,80,100,30,100,100,68,100,100,57,100,60,29,86,52,28,68,56,25,84,61,30,87,60,28,86,46,0,77,33,13,68,59,28,85,35,11,71,34,13,57,74,42,93,62,30,87,54,23,81,62,28,89
'031909,23,5,61,67,50,83,70,10,95,.,.,.,35,11,71,17,17,50,33,10,68,37,12,75,34,10,70,50,33,50,17,4,54,33,11,66,19,4,58,16,3,33,50,20,81,34,11,70,41,12,74,39,15,87
'031911,30,10,64,.,.,.,.,.,.,.,.,.,39,14,71,0,0,14,37,13,69,42,15,74,39,14,71,100,60,100,12,3,47,36,13,67,23,5,58,17,7,31,32,16,66,39,15,71,38,13,67,23,11,69
'031912,28,9,62,53,37,84,-1,-1,-1,-1,-1,-1,38,14,70,25,19,56,36,12,69,41,15,74,38,13,70,.,.,.,20,7,53,36,13,67,19,5,54,20,6,38,48,28,66,39,14,71,33,10,66,21,6,57
'031913,31,10,58,-1,-1,-1,.,.,.,.,.,.,31,10,62,.,.,.,31,10,62,36,13,66,31,10,63,-1,-1,-1,19,6,46,26,8,59,17,4,48,17,4,43,29,14,43,30,10,62,35,11,65,60,40,60
'031914,27,9,63,-1,-1,-1,.,.,.,.,.,.,37,12,73,.,.,.,36,11,71,37,11,77,37,12,73,.,.,.,19,8,58,37,12,69,21,5,61,25,9,49,33,10,70,39,12,75,30,11,63,70,0,100
'031916,63,28,90,93,65,100,93,70,99,-1,-1,-1,79,42,95,80,50,93,73,33,94,78,40,96,77,38,95,56,22,89,36,11,78,79,43,95,49,15,85,39,20,70,89,53,98,78,36,94,79,42,95,65,33,95
